店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
东西湖区金银湖街工会委员会,马池路特8号,30.649308,114.221608,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位|政府机构及社会团体;社会团体;社会团体相关
金银湖街道办事处,马池路特8号,30.649302,114.221448,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
中共东西湖区纪律检查委员会金银湖街工作委员会,金银湖街马池路,30.649237,114.221417,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
东西湖区人大常委会金银湖街工作委员会,金银湖街马池路,30.649149,114.221475,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
中共东西湖区委员会金银湖街道工作委员会,金银湖东西湖区政府金银湖街道办事处,30.649202,114.221392,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
常青花园第三社区居委会,常青花园学府北路65号,30.64762,114.236857,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
中共常青花园第三社区总支委员会,学府北路65常青花园第三社区居委会附近,30.64762,114.236857,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
东西湖区常青花园第三社区退役军人服务站,学府北路65号,30.647627,114.236905,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
湖北省交通建设工程质量检验鉴定中心,亲湖路与马池西路交叉口西北280米,30.66799,114.219984,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公证鉴定机构
武汉市东西湖区人民法院常青花园巡回法庭,康居四路常青花园四小区,30.647547,114.237217,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;法院
常青花园派出所第三社区警务室,常青花园第三社区警务室,30.647637,114.237412,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察|政府机构及社会团体;公检法机构;社会治安机构
武汉吴家山台商投资区金银湖生态园管理委员会李家墩公司,环湖中路83号,30.67184,114.227375,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
武汉市教育局,金银潭大道5号,30.6538,114.244499,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;地市级政府及事业单位
中共李家墩社区支部委员会,金银湖街李家墩社区居委会附近,30.671939,114.227386,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
中共武汉市委教育工作委员会,金银潭大道5号武汉市常青第一中学,30.653491,114.244695,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;地市级政府及事业单位
武汉城管,常青花园五小区东北门旁,30.650055,114.24254,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;地市级政府及事业单位
东西湖区刘家墩社区退役军人服务站,姑李路450号综合楼,30.659493,114.245878,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
银湖社区居委会,环湖路辅路与马池路交叉口北240米,30.652555,114.21351,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
金银湖街银湖社区退役军人服务站,环湖路81号,30.652496,114.213536,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
银湖社区党员群众服务中心,环湖路辅路与马池中路交叉口西南140米,30.652399,114.213484,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
武汉市政府菜篮子工程,学府北路101号附近,30.647214,114.241529,东西湖区,武汉市,湖北省,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关
恋湖社区党员群众服务中心,环湖路辅路与马池北路交叉口西南300米,30.656298,114.211864,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
恋湖社区居委会,环湖路辅路恋湖家园,30.656372,114.211749,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
金银湖派出所恋湖社区警务室,恋湖家园,30.655427,114.211898,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察
东西湖区金银湖街恋湖社区退役军人服务站,金银湖街环湖路72号恋湖家园恋湖社区,30.6563,114.211629,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
将军路街综治安保队,金银潭大道与姑李路交叉口西100米,30.65179,114.246246,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;社会治安机构
可能公社(武汉分社),新康苑19栋2单元602,30.646887,114.243373,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;社会团体相关
常青花园第三小区业主委员会,香樟三路50号(轻工大学地铁站D口步行310米),30.642071,114.23316,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;社会团体相关
中共常青花园第二社区委员会,香樟三路50号(轻工大学地铁站D口步行300米),30.642071,114.233161,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
武汉市常青花园第二社区服务站,香樟三路50号(轻工大学地铁站D口步行300米),30.642071,114.233161,东西湖区,武汉市,湖北省,商务住宅;住宅区;社区中心|政府机构及社会团体;政府及社会团体相关;政府及社会团体相关
常青花园第二社区居委会,常青花园新区街道管理委员会常青花园香樟三路50号,30.642071,114.233161,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
武汉市东西湖区常青花园第二社区退役军人服务站,常青花园香樟三路48号,30.642067,114.233159,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
武汉市东西湖区常青花园第二社区退役军人事务站,香樟三路50号,30.642065,114.233161,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
中共常青花园第二社区总支委员会,香樟三路50号(轻工大学地铁站D口步行340米),30.642064,114.233284,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
东西湖区常青花园第二社区服务站,香樟三路50号(轻工大学地铁站D口步行290米),30.641977,114.233071,东西湖区,武汉市,湖北省,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关
武汉市公安局交通管理局高等级公路大队一中队,常青北路266号(轻工大学地铁站D口步行420米),30.641718,114.231683,东西湖区,武汉市,湖北省,政府机构及社会团体;交通车辆管理;交通管理机构
金银湖街道办事处城管所,马池路2号,30.648981,114.213446,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
机场中队,香樟三路48号(轻工大学地铁站D口步行230米),30.641362,114.232581,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
中共银湖社区委员会,环湖西路与联通路交叉口东南100米,30.648799,114.212981,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
中共金银湖街道办事处城管所支部委员会,马池路2号附近,30.649012,114.212817,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
常青花园钓鱼协会,学府北路一街与康居三路一巷交叉口西北120米,30.642165,114.23645,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;行业协会
银湖社区居委会,马池路2号,30.648856,114.212851,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
湖北三五公棚,姑李路与金银潭大道交叉口东南140米,30.651,114.248223,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;行业协会
常青花园第四社区居委会,常青花园新区街道学府北路一街1号,30.641443,114.236088,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
常青花园党员群众服务中心,学府北路一街花园二十三村,30.641443,114.236088,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|体育休闲服务;体育休闲服务场所;体育休闲服务场所
武汉常青花园社区志愿者协会,学府北路一街1(轻工大学地铁站C口步行410米),30.641334,114.23604,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;行业协会
常青花园派出所第六社区警务室,恒大常青花园六小区西北门西南80米,30.648006,114.246722,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察
环卫工作站,武汉奥林匹克花园东门西南260米,30.66858,114.212267,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
武汉市东西湖区常青花园综治中心,康居六路常青花园六小区,30.648102,114.246933,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
武汉市东西湖区将军路街农产品质量安全监管站,S19机场二高速西150米,30.648508,114.247673,东西湖区,武汉市,湖北省,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关
十三区业主委员会,学府北路花园二十三村,30.640515,114.235423,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
常青花园党员群众服务中心,常青花园23村北门口,30.641383,114.240767,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|生活服务;生活服务场所;生活服务场所
环卫工作站,将军新村3期西南门西北70米,30.653682,114.251696,东西湖区,武汉市,湖北省,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关
人社服务窗口(东西湖区常青花园政务服务中心),常青花园中心公园100号,30.641225,114.240523,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
东西湖区常青花园第六社区退役军人服务站,学府北路239号附1号,30.645696,114.247138,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
武汉常青摄影协会,公园环路130号(常青花园地铁站E口步行240米),30.642748,114.243627,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;行业协会
武汉诗词楹联学会常青花园分会,公园环路130号(常青花园地铁站E口步行230米),30.642687,114.243672,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;社会团体相关
湖北省音乐家协会社会艺术教育促进会常务理事单位,将军新村3期西南门旁,30.653209,114.25206,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;行业协会
鹏海家园治安室,银花街与姑李路交叉口东60米,30.648734,114.250153,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公检法机关
常青花园派出所第二社区警务室,常青花园街香樟二路13号附1号,30.638403,114.232444,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察
东西湖区卫生计生执法大队常青花园中队,华中科技大学同济医学院附属普爱医院西南门北340米,30.638539,114.234702,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
东西湖区市场监督管理局常青花园市场监督管理所,学府南路126号(轻工大学地铁站B口步行200米),30.638483,114.234605,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;区县级政府及事业单位|政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
中共将军北路社区总支部委员会,颐和家园东北门旁(常青城地铁站B口步行290米),30.656915,114.253296,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
将军北路社区党员群众服务中心,将军新村五期4栋1单元,30.655551,114.253258,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
武汉市东西湖区将军路街将军北路社区退役军人服务站,将军新村五期4栋1单元门面,30.65549,114.253248,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
将军北路社区居委会,将军二路,30.655531,114.25327,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
将军路街派出所将花社区警务室,金银潭大道52号12栋1层,30.653534,114.253087,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察
东西湖公证处常青花园办事处,常青花园公园环路2号附1202号,30.6393,114.239245,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公证鉴定机构
大院管理处,姑李路与将军路交叉口西北60米,30.647757,114.250554,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
将花社区居委会,姑李路152号附1号,30.653512,114.253334,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
武汉市东西湖区将军路街道将花社区居民委员会,金银潭大道将军新村-3期,30.653558,114.25339,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
东西湖区将军路街将花社区退役军人服务站,将军新村三期12栋,30.653615,114.253414,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
武汉市东西湖区常青花园退役军人服务站,常青花园常青北路240号,30.637403,114.23094,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
中共将军路社区总支部委员会,将军一路将军新村,30.651293,114.252702,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
中共武汉市东西湖区委常青花园社区管理办公室工作委员会,常青北路240武汉中咨大厦F1层,30.63731,114.231013,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
东西湖区常青花园退役军人服务站,常青北路240-附2号,30.637283,114.230941,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
东西湖区常青花园社区管理办公室,常青花园常青北路240号综合办公楼B座(中国银行旁),30.637254,114.23094,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
湖北省力学学会岩土力学专业委员会,学府南路68号(轻工大学地铁站B口步行460米),30.638232,114.237294,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;社会团体相关
将军新村商铺经营管理办公室,将军新村北门西80米,30.651898,114.253517,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
将军路社区居委会,将军一路将军新村二期6号楼地1-5商铺附近,30.651437,114.253342,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
武汉常青花园雨花斋公益素食店,新世界·常青1/2中心西北2门旁,30.639187,114.241107,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;慈善机构
雨花斋(常青花园中路店),常青花园中路1/2常青中心商业街,30.639099,114.240923,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中式素菜馆|政府机构及社会团体;社会团体;慈善机构
武汉市东西湖区金银湖街李家墩社区退役军人服务站,环湖中路63号武汉奥林匹克花园小区105栋,30.673967,114.211972,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
东西湖区公安分局将军路街派出所将军路社区警务室,将军路街办事处将军一路118号,30.651597,114.253678,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;社会治安机构|政府机构及社会团体;公检法机构;公安警察
李家墩社区党员群众服务中心(装修中),环湖中路63号奥林匹克花园北门,30.674021,114.211924,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|生活服务;生活服务场所;生活服务场所
城管执法,常青花园中路与公园南路交叉口东160米,30.642047,114.246491,东西湖区,武汉市,湖北省,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关
将军路街姑李路片区房屋搬迁指挥部现场办公室,姑李公路152附2号附近,30.646606,114.251225,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
将军路街道办事处政务服务中心,将军二路188附近,30.65512,114.255234,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
卡口值班室,姑李路与将军路交叉口东南140米,30.645727,114.25093,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;社会治安机构
常青花园派出所,常青花园平安巷18号,30.639129,114.242682,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察
人社服务窗口(东西湖区将军路街道办事处政务服务中心),将军二路路口4期环建楼1栋,30.655019,114.255299,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
东西湖区将军路街道退役军人服务站,将军新村4期西南1门旁,30.655004,114.255322,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
武汉市公安局打黑除恶东西湖工作站,平安巷18(常青花园地铁站B2口步行340米),30.639037,114.242763,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;公安警察
武汉市学习雷锋志愿服务工作站,平安巷常青花园14小区,30.638759,114.242243,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
将军路街派出所银花社区警务室,将军新村4期西南1门旁,30.654761,114.255461,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;社会治安机构
中共常青花园第五社区委员会,常青花园地铁站D口步行470米,30.638744,114.242379,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
常青花园第五社区居委会,常青花园新区街道管理委员会常青花园公园南路6号,30.638741,114.242382,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
武汉市东西湖区常青花园第五社区退役军人服务站,平安巷十四小区北门56栋,30.638682,114.242348,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
将南社区党员群众服务中心,姑李路127号5栋1楼,30.644948,114.251078,东西湖区,武汉市,湖北省,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关
乳品厂片区旧城改造项目指挥部,车场南路与金银潭大道交叉口西340米,30.658112,114.256398,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
武汉市东西湖区市场监督管理所,将军路58-3号,30.648543,114.254092,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
将军路工商所,将军路街道将军一路小学集资楼一栋一单元,30.648548,114.254129,东西湖区,武汉市,湖北省,政府机构及社会团体;工商税务机构;工商部门
东西湖区个体私营协会将军路基层分会,将军路58-3号,30.648428,114.254159,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;行业协会
东西湖区个体劳动者协会养殖基层协会,将军路58-3附近,30.648442,114.254207,东西湖区,武汉市,湖北省,政府机构及社会团体;社会团体;行业协会
武汉市东西湖区常青消防救援站,中国人民警察武装部队武汉市消防支队常青中队西南门旁,30.635511,114.235968,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;消防机关
武汉市消防救援支队常青应急救援站,学府南路与香樟一路三街交叉口西北120米,30.635459,114.235902,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;消防机关
金银潭国土资源城市规划管理所,将军路与将军一路交叉口东北80米,30.64942,114.255278,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
将军路国土资源和规划所,将军家苑西北门西50米,30.649271,114.255314,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;政府机关相关
武汉市东西湖区将军路人民法庭,将军二路18号,30.6529,114.256738,东西湖区,武汉市,湖北省,政府机构及社会团体;公检法机构;法院
东西湖区银花社区退役军人服务站,将军新村四期12栋银花社区居委会,30.653807,114.257074,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
中共银花社区委员会,将军新村4期东南门旁,30.653809,114.257076,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
将军路街道办事处平安建设办公室,将军一路91-97号,30.648019,114.254845,东西湖区,武汉市,湖北省,政府机构及社会团体;政府机关;乡镇级政府及事业单位
