店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
和田门诊(金湖苑小区东北),马池中路,30.658594,114.221924,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
和田口腔连锁机构,马池西路与二号路交叉口北100米,30.658586,114.221897,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
武汉轻工大学医院金银湖校区医院,外环东路与外环北路交叉口东南120米,30.654155,114.223526,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;综合医院
武汉轻工大学医院,环湖中路36号武汉轻工大学金银湖校区,30.654149,114.2235,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;综合医院
颈百顺良工坊,美联一期20栋3门面,30.65425,114.236056,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
武汉轻工大学心理健康教育与咨询中心(外环东路),外环东路与外环北路交叉口南60米,30.654543,114.222928,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
康一家药房(美联店),奥园西路2号美联奥林匹克花园一期一区一栋一层商2,30.652503,114.234041,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
惠丰大药房,金湖苑小区东南门东60米,30.657369,114.220965,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
美加美马池口腔科诊所,常青北路与金银潭大道交叉口北280米,30.651835,114.233926,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
美倍宠物医院(金银潭总院),奥园东路美联奥林匹克花园4期6栋商5,30.654846,114.238343,东西湖区,武汉市,湖北省,医疗保健服务;动物医疗场所;宠物诊所
舍艺,奥园东路与碧水南路交叉口东南60米,30.654982,114.238971,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
金银湖街银湖苑卫生室,金湖苑小区西门北110米,30.658421,114.219472,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
益丰大药房,美联奥林匹克花园二期第28栋1楼商4,30.65381,114.238797,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
目中明视力养护体验中心,金银湖街道金银湖环湖路汀香北路金湖苑门面8栋一1号,30.658827,114.219405,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
东明药房(金湖苑分店),李家墩社区-金湖苑西门旁,30.657369,114.219397,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
东西湖区金银湖街社区卫生服务中心北院区急诊,马池西路与亲湖路交叉口南140米,30.664453,114.221825,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;卫生院
金银湖街社区卫生服务中心核酸采样点,金银湖街亲湖路与马池西路交汇处,30.664554,114.221858,东西湖区,武汉市,湖北省,医疗保健服务;核酸检测;核酸检测
金银湖街社区卫生服务中心发热门诊,亲湖路1号,30.664518,114.221792,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
金银湖街社区卫生服务中心门诊,马池西路与亲湖路交叉口南140米,30.664569,114.221796,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;卫生院
庭瑞口腔,金银湖街道办事处马池中路9号家美天晟阳光城庭瑞新汉口1层11栋2-3号,30.655958,114.219433,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
金银湖街卫生院北院区住院部,马池西路与亲湖路交叉口东南120米,30.664778,114.221958,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;卫生院
东西湖区120急救中心金银湖急救站,马池西路与亲湖路交叉口东南120米,30.664737,114.221898,东西湖区,武汉市,湖北省,医疗保健服务;急救中心;急救中心
金银湖街社区卫生服务中心(北院区),亲湖路1号,30.664547,114.221253,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;卫生院
康一家药房(永旺店),美联·奥林匹克花园二期东北1门旁,30.65331,114.239056,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
湖北航天医院银湖湾门诊部国医馆,马池路与环湖中路交叉口西南40米,30.649358,114.225186,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
湖北航天医院(银湖湾门诊部),马池路与环湖中路交叉口西南60米,30.649341,114.22504,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
爱心动物诊疗,马池路航天银湖湾103商铺10号附29号,30.649362,114.224426,东西湖区,武汉市,湖北省,医疗保健服务;动物医疗场所;宠物诊所
罗斌宠物美容SPA中心,马池路10号附28号,30.649374,114.224216,东西湖区,武汉市,湖北省,医疗保健服务;动物医疗场所;宠物诊所
武汉大学口腔医院金银潭门诊部,将军路街办事处金银潭大道1号永旺梦乐城金银潭店2层243号,30.650109,114.237125,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
奈斯国际宠物中心(永旺梦乐城金银潭店),将军路街办事处金银潭大道1号永旺梦乐城1层165b,30.649984,114.237028,东西湖区,武汉市,湖北省,医疗保健服务;动物医疗场所;宠物诊所
奈斯国际动物医院,金银潭大道与康居四路交叉口西北140米,30.649958,114.237032,东西湖区,武汉市,湖北省,医疗保健服务;动物医疗场所;宠物诊所
好药师大药房(金银潭店),金银潭大道1号永旺梦乐城金银潭店2层,30.650309,114.237889,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
东明药房(银湖湾分店),金银湖交通银行(武汉轻工大学南),30.649477,114.22257,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
楚康大药房,愿景城A区2-7号商铺,30.659585,114.243131,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
武汉市第四医院常青院区,姑李路,30.655664,114.242969,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;综合医院
智仁大药房,环湖路73号银湖水榭32栋1层1室附13-1,30.660985,114.215431,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
瑞健美口腔,环湖路73-12号银湖水榭底商,30.661023,114.215421,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
赛蔻心理疏导工作室,金银湖环湖路汀香水榭15C-4,30.651453,114.217318,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
心启健身康复工作室,常青花园五小区9栋2单元101号,30.648498,114.238951,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
妇幼保健,常青花园四小区东门旁,30.648103,114.23838,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
康居四路西医全科医疗科诊所,常青花园四小区东门旁,30.648058,114.238398,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
益丰大药房,升华·现代城西南门南60米,30.654875,114.215101,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
回春堂大药房(环湖路店),金银湖环湖中路升华现代城A6-4D,30.654474,114.21501,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
东明药房,金银湖环湖路马池中路1号附55号,30.654412,114.215008,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
金银湖街李家墩卫生室,李家墩75号,30.671414,114.22636,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
恋湖社区便民发热诊疗站,环湖路辅路与马池中路交叉口北180米,30.65494,114.214063,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
德仁堂药店(恋湖店),金银湖街恋湖家园步行商业街10号,30.655144,114.213661,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
康悦诗孕产修复中心,金银潭大道与康居五路交叉口西南60米,30.650055,114.24296,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
百岁康大药房(水印桃源店),水印桃源南门西90米,30.665184,114.215097,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
武汉市普仁医院(金银潭店),常青花园街康居五路9号金银潭广场三楼,30.649906,114.242945,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
普仁体检,金银潭地铁站B1出口左行30米上楼梯到二楼,30.650062,114.243277,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;综合医院
中国医药集团汉口大药房(金银潭广场店),常青花园康居五路9号楼(金银潭地铁站B2口旁),30.650083,114.243297,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
怡养堂,金银潭侧路东侧(金银潭地铁站B1口旁),30.649746,114.242989,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
城镇职工(居民)医保定点医院,环湖路辅路与马池中路交叉口西60米,30.653576,114.213836,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;综合医院
固德口腔,金银潭广场东北门旁(金银潭地铁站B2口步行70米),30.649746,114.243433,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
益丰大药房(恒大御景分店),机场路东马池南武汉恒大常青花园六小区北区二期第33栋1层13号房,30.650466,114.243518,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
武汉惠姓医院,金银湖南街和马池中路的交叉口附近,30.653343,114.213503,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;综合医院
康一家药房(常青店),常青花园五小区3组团1栋3层,30.649099,114.242988,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
武汉慈名和顺中医医院住院部,学府北路二街与学府北路交叉口东南20米,30.643407,114.236138,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;综合医院
慈名和顺中医馆,康居三路与学府北路交叉口西北约20米,30.643321,114.23627,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
武汉慈名和顺中医医院,学府北路与学府北路二街交叉口南50米,30.64326,114.236253,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;综合医院
科道动物诊疗中心,康居三路与康居三路一巷交叉口西60米,30.643307,114.23759,东西湖区,武汉市,湖北省,医疗保健服务;动物医疗场所;兽医站
科道宠物(常青花园分院),常青花园二十五村北门东50米,30.643278,114.237656,东西湖区,武汉市,湖北省,医疗保健服务;动物医疗场所;动物医疗场所
好药师大药房(人众堂店),金银潭大道凯旋名居,30.653038,114.248068,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
儿童健康保健,学府北路二街常青花园,30.642799,114.237336,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
素子心理,常青花园恒大御景31栋202,30.649963,114.246942,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
糖尿病调理,学府北路一街与学府北路交叉口东南20米,30.641574,114.235116,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
健康护理站,常青花园学府北路一街1号附13号,30.64155,114.23552,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
金银湖江北器械医疗有限公司,环湖中路与李家墩路交叉口北260米,30.673835,114.219543,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
赵老师小儿推拿,学府北路一街与学府北路交叉口东80米,30.64152,114.235749,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
郑远元,康居六路与姑李路交叉口西180米,30.648669,114.246859,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
武汉市急救中心常青花园急救站,康居三路94号(常青花园地铁站A1口步行500米),30.642479,114.238928,东西湖区,武汉市,湖北省,医疗保健服务;急救中心;急救中心
金药堂,常青花园恒大御景南门旁,30.648864,114.247116,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
金药堂大药房恒大御景店,康居六路14号附14号,30.648833,114.247146,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
武汉东西湖洪爱民口腔诊所,香樟三路一街5(轻工大学地铁站D口步行250米),30.640865,114.233996,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
武汉市急救中心,公园环路与康居三路交叉口西20米,30.642399,114.239078,东西湖区,武汉市,湖北省,医疗保健服务;急救中心;急救中心
顺驰柏林艾灸推拿馆,环湖三路顺驰柏林206栋14-15号,30.666956,114.211215,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
体惠健康养生馆,学府北路一街与康居三路一巷交叉口西60米,30.641398,114.236401,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
爱君大药房,常青花园恒大御景南门东北50米,30.649017,114.247427,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
科乐口腔,高尔夫球场西金山大道北高尔夫城市花园五期商业栋2层216-217室,30.646634,114.213457,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
东明药房(万科高尔夫分店),环湖西路万科高尔夫城市花园8805栋,30.646054,114.213332,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
益丰大药房(康居六路分店),常青花园康居六路14号附1213号,30.648801,114.248189,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
益丰大药房(学府北路店),常青花园十一区北门东70米,30.646257,114.246232,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
东明药房(马池分店),环湖路辅路与环湖二路交叉口西180米,30.667501,114.210404,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
吉亚眼科,将军路车场南路7-1号(常青城永旺超市旁),30.657913,114.251444,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;眼科医院
武汉合群门诊部,常青花园外环路2-5,30.639658,114.231241,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
百岁康智能药房,康居六路与姑李路交叉口西南180米,30.647886,114.247722,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
东西湖祝幼萍口腔科诊所,环湖三路顺驰柏林小区402栋1号商铺,30.667981,114.210722,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
顺驰口腔,环湖路辅路与环湖二路交叉口西140米,30.667984,114.21069,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
瑞华中医医院将军路西医内科诊所,机场二通道伊甸园小区,30.6499,114.249468,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;专科医院
同济堂(将军路店),姑李公路176-177号附近,30.649282,114.249343,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
好药师,公园环路与康居五路交叉口东100米,30.643615,114.244175,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
利民堂大药房(将军花园店),将军路将军佳园A栋6-7号商铺,30.650178,114.250191,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
福诚有品,姑李路与银花街交叉口北40米,30.648845,114.24959,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
古法艾灸堂,常青花园中路29号(轻工大学地铁站C口步行440米),30.640036,114.238071,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
武汉市东西湖孙春芝中医科诊所,颐和家园东北门旁(常青城地铁站B口步行270米),30.657504,114.252818,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
武汉东西湖李洁西医内科诊所,银花街将军花园-A区,30.650684,114.251029,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
华硕口腔,车场南路与将军二路交叉口东北40米,30.658222,114.253262,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
华硕口腔常青城门诊部,金银潭大道17号,30.65812,114.253266,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
将军路街将军花园卫生室,将军一路与银花街交叉口西南160米,30.650553,114.251432,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
武汉市东西湖秦家平中医中医诊所,(将军花园)银花街37-1号,30.649178,114.250744,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
武汉市东西湖秦家平中医科诊所,将军花园东南1门旁,30.649342,114.250795,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
益丰大药房,将军二路与车场南路交叉口南120米,30.656953,114.253292,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
明瑞口腔,学府南路常青管委会二楼,30.638434,114.234604,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
明瑞口腔,华中科技大学同济医学院附属普爱医院西南门北330米,30.638429,114.234631,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
康一家药房(将军店),颐和家园东北门东南50米,30.656883,114.253354,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
荟龙口腔门诊部,将军一路将军新村-3期,30.652567,114.252427,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
益丰大药房,华中科技大学同济医学院附属普爱医院西南门北320米,30.638364,114.234627,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
同仁堂药店(武商量贩店),常青花园新区街道管理委员会常青花园武商量贩一楼北京同仁堂,30.639402,114.238731,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
易好药店(颐和家园店),将军路街道将军二路颐和家园第2栋,30.656626,114.253508,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
武汉东西湖梅兴华口腔诊所,将军新村环建楼101商铺,30.652378,114.252549,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
江瀚大药房(学府南路店),学府南路常青花园中环商城1-3-1-2号,30.638248,114.234537,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
康一家药房(菜场店),常青花园学府南路110号,30.638124,114.234638,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
大众口腔常青花园门诊,常青花园11小区25栋4单元1-2层,30.642045,114.244865,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
武汉周永宁口腔门诊部,常青花园花园中路中央商业街117-7号,30.639922,114.240752,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
康本龙视光中心,常青花园中路与公园环路交叉口西240米,30.64072,114.242399,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
德闻口腔门诊部,常青花园8号地块b区z1栋,30.638715,114.238558,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
思远动物医院(常青分院),常青花园中路90号附1号,30.63868,114.23855,东西湖区,武汉市,湖北省,医疗保健服务;动物医疗场所;宠物诊所
小食侯食疗,常青中路1/2中心Z1栋之11-12,30.638751,114.238761,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
康宸大药房(连锁0063店),常青花园综合大楼1层1-2室,30.637774,114.234651,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
精致口腔门诊,常青花园中路新世界中心Z1-10号(武商量贩对面),30.638676,114.239386,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
视佳医眼科(常青花园院区),常青花园中路531号,30.64182,114.245069,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;眼科医院
杨波采耳,夹浦西村南门西南100米,30.641934,114.245422,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
爱灸堂(金银湖店),金山大道特8号万科高尔夫城市花园南门297A,30.642714,114.212539,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
九福理疗,将军一路与银花街交叉口南60米,30.650962,114.253009,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
好药师大药房(康健店),常青花园中路16号,30.638707,114.239527,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
常青优唐糖尿病健康管理中心,常青花园8号地块B区Z1幢1号商铺2楼,30.638719,114.239662,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
恒济大药房,新世界·常青1/2中心西北1门旁,30.638794,114.240125,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
康一家药房(中心店),常青花园8号地块B区Z2栋1、2层商3号房1层,30.638808,114.240234,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
金药堂(将军路店),将军新村2期,30.65211,114.253932,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
东西湖张彬西医内科诊所,将军路7附2-3,30.647779,114.251805,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;专科医院|医疗保健服务;诊所;诊所
青沐传统中草药香熏健康管理私人会所,金山大道万科高尔夫城市花园一期联排别墅151号,30.641136,114.21413,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
艾雅健口腔门诊部,将军新村还建房三期将军二路JH-114号商铺,30.654729,114.254717,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
爱吧成人用品无人售货(将军路店),将军路7附2-3附近,30.64786,114.251975,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
武汉康一家药房有限公司,常青花园2区骏岭34栋3单元401室,30.636548,114.231578,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
明华口腔门诊部,将军路36号,30.647754,114.252345,东西湖区,武汉市,湖北省,医疗保健服务;专科医院;口腔医院
正和大药房(将军新村店),将军新村3期21栋3号商铺,30.652594,114.254713,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
益民堂大药房,环湖路59号,30.669958,114.207291,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
周玲经络理疗馆,将军一路融泰•嘉境,30.649647,114.253909,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;医疗保健用品
福临动物诊疗(将军路店),将军路与将军一路交叉口西南180米,30.648031,114.253032,东西湖区,武汉市,湖北省,医疗保健服务;动物医疗场所;宠物诊所
金药堂大药房,常青花园五村3号门旁,30.636142,114.234401,东西湖区,武汉市,湖北省,医疗保健服务;医药保健销售店;药房
将军路街畜牧兽医站,姑李路144号,30.648035,114.25305,东西湖区,武汉市,湖北省,医疗保健服务;动物医疗场所;兽医站
华中科技大学同济医学院附属普爱医院(常青分院)-体检,学府南路66号(轻工大学地铁站C口步行470米),30.63629,114.23527,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
普惠门诊部,将军二路将军新村3期,30.652921,114.255308,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
东西湖区第二人民医院-狂犬病暴露预防处置门诊,将军一路108号武汉市东西湖区第二人民医院,30.650159,114.2543,东西湖区,武汉市,湖北省,医疗保健服务;医疗保健服务场所;医疗保健服务场所
普惠中医门诊部,将军路将军新村三期22号楼84号商铺,30.652889,114.255305,东西湖区,武汉市,湖北省,医疗保健服务;诊所;诊所
武汉市东西湖区第二人民医院,将军一路108号,30.650449,114.254505,东西湖区,武汉市,湖北省,医疗保健服务;综合医院;卫生院
