店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
国家电网汽车充电站(湖北省武汉市东西湖区凯旋名居公共充电站),姑李路与S19机场二高速入口交叉口东北100米,30.652884,114.248341,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
哪儿充汽车充电站(常青花园13村站),学府北路香樟三路一街路口常青花园13村旁,30.641123,114.234681,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
非洗不可24小时智能自助洗车(常青花园13村店),香樟三路二街6-附3号,30.640781,114.233378,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
长城润滑油,姑李路228号,30.650475,114.248486,东西湖区,武汉市,湖北省,购物服务;专卖店;专营店|汽车服务;汽车服务相关;汽车服务相关
鼎升汽车俱乐部,青青佳园地下停车场负一楼B区,30.652374,114.249986,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
一嗨租车(常青花园店),常青花园六小区康居六路14号,30.648832,114.248275,东西湖区,武汉市,湖北省,汽车服务;汽车租赁;汽车租赁
国家电网汽车充电站(湖北省武汉市东西湖区公园环路中心公园充电站),公园环路中心公园篮球场停车场内,30.641645,114.239265,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
宝之汇汽车服务,常青花园新区街道康居六路14号附16号,30.648855,114.248359,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
哪儿充汽车充电站(常青花园24村站),公园环路常青花园24村,30.641345,114.238778,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
嘉实多护车保养站,机场二通道荣昌花园(姑李公路),30.64909,114.249725,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
固特异轮胎(将军一路店),将军新村3期西南门旁,30.652982,114.252216,东西湖区,武汉市,湖北省,汽车服务;汽车配件销售;汽车配件销售
大陈汽车服务中心,将军二路颐和家园2栋(常青城地铁站B口步行380米),30.656505,114.253467,东西湖区,武汉市,湖北省,汽车维修;汽车维修;汽车维修|汽车服务;汽车服务相关;汽车服务相关
武汉西林吊车叉车,环湖三路武汉奥林匹克花园,30.671046,114.210625,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
武汉市智兴诚起重吊车出租,将军路,30.654375,114.253264,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
依路行汽车美容养护中心,常青花园武商量贩地下车库洗车店C区,30.639469,114.240348,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
哪儿充汽车充电站(常青花园8村站),学府南路(轻工大学地铁站A口步行310米),30.637608,114.234387,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
芙丽养护中心,常青花园中路与公园环路交叉口东北140米,30.642264,114.246025,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
曼芙丽,常青花园中路563号,30.642231,114.246001,东西湖区,武汉市,湖北省,汽车服务;洗车场;洗车场
途虎养车工场店(武汉常青花园店),常青花园中路常青壹号102楼6-78门面,30.643044,114.24764,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
武汉市明伟华汽车服务公司,常青花园二分之一小区地下车库249A,30.638418,114.23958,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
德科,姑李路与将军路交叉口东南80米,30.646189,114.25066,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
东西湖鑫天地汽车美容经营部,内环路与平安巷交叉口南100米,30.637518,114.238166,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
万鑫汽修,将军一路(姑李路社区服务站旁),30.647296,114.255117,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护|汽车维修;汽车维修;汽车维修
百世德,翠林居西南门西北90米,30.647517,114.255625,东西湖区,武汉市,湖北省,汽车服务;汽车配件销售;汽车配件销售
德国马牌,将军一路60号,30.647496,114.25564,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护|汽车服务;洗车场;洗车场|汽车维修;汽车维修;汽车维修
武汉MINT豪车租赁,姑李路与常青花园中路交叉口东140米,30.643537,114.253929,东西湖区,武汉市,湖北省,汽车服务;汽车租赁;汽车租赁
武汉焱森迈凯伦售后中心,姑李路86号迈凯伦湖北指定专修超跑维修养护豪车租赁二手车交易,30.643501,114.2539,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
MINT CLUB超跑俱乐部,姑李路与常青花园中路交叉口东140米,30.643484,114.25393,东西湖区,武汉市,湖北省,汽车服务;汽车俱乐部;汽车俱乐部
维修保养汽车美容轮胎电瓶,丽景东路与秋涛路交叉口北160米,30.633116,114.223939,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
至诚天美汽车服务中心,金南一路5号附24(园博园北地铁站F口步行220米),30.63305,114.224121,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
武汉鑫康正汽车体验中心,武汉骏思达机动车检测站南侧180米,30.654688,114.259436,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
御霖汽车美容,金南一路5附24号(园博园北地铁站E口步行180米),30.632969,114.224086,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
哪儿充汽车充电站(常青花园10小区2站),公园南路靠近康居一路路口轻工大学对面,30.637369,114.247347,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
九顺汽车服务中心,银花街214号,30.654465,114.259552,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
黄陂汽修汽配服务中心,银花街214号附近,30.654423,114.259674,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
XPEL一诺汽车生活馆,将军四路9号,30.657069,114.260015,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护|汽车服务;洗车场;洗车场
智慧城市便民自助洗车站,环湖路辅路与环湖五路交叉口东北80米,30.670131,114.202403,东西湖区,武汉市,湖北省,汽车服务;洗车场;洗车场
哪儿充汽车充电站(常青花园27村站),学府南路花园27村前,30.633271,114.238104,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
非洗不可24小时自助洗车(十小区店),学府东路常青花园十小区,30.638844,114.250261,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
邓禄普轮胎,常青花园公园南路武汉轻工大学对面,30.637036,114.247682,东西湖区,武汉市,湖北省,汽车服务;汽车配件销售;汽车配件销售
快速洗车,银花街与将军四路交叉口西南240米,30.654659,114.260162,东西湖区,武汉市,湖北省,汽车服务;洗车场;洗车场
河马自助洗车(中部慧谷店),环湖五路与环湖路辅路交叉口北80米,30.670296,114.201998,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
武汉SSC超跑俱乐部,华星晨龙城路8号楼10-11号,30.642787,114.254696,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
豪艺汽车工场(金银湖店),金南一路189号(园博园北地铁站F口步行340米),30.632071,114.22471,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
智车联,丽景东路与秋涛路交叉口东北60米,30.632017,114.224785,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
玩酷靓仔汽车美容,金银湖环湖五路中部慧谷1栋Z1,30.670657,114.201941,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
靓车洁汽车美容服务中心,金银湖环湖四路中部慧1期B区商3-14号,30.674296,114.20445,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
天猫养车(姑李路店),姑李路与康居一路交界处愿景时代小区内,30.641053,114.253504,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护|汽车服务;洗车场;洗车场|汽车维修;汽车维修;汽车维修
天天贴膜汽车美容店,愿景时代2栋,30.640955,114.25341,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
鑫众驰汽车养护中心,将军四路9号,30.65764,114.260929,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
美博辰汽车俱乐部,金银湖街道环湖五路57号附6附7号附8号,30.671435,114.202064,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
宝捷汽车服务中心,银花街209号,30.655431,114.260967,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
车行天下汽车服务(中部慧谷店),环湖四路中部慧谷二期商4,30.675299,114.204943,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
洗车人家凯撒香车会所,财富兴园·中部慧谷1期A区西门旁,30.671623,114.202026,东西湖区,武汉市,湖北省,汽车服务;洗车场;洗车场|汽车服务;汽车养护/装饰;汽车养护
鑫奥汽车部落修理厂,将军路26号鑫奥汽车部落,30.657813,114.2613,东西湖区,武汉市,湖北省,汽车服务;汽车救援;汽车救援
星星充电汽车充电站(中国民用航空中南地区空中交通管理局湖北分局)(暂停营业),天河机场路,30.63135,114.235159,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
骆驼电瓶,将军一路7号,30.644003,114.257101,东西湖区,武汉市,湖北省,汽车服务;汽车救援;汽车救援
(京东养车)常青花园店,香樟一路一街1号,30.631133,114.234992,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
京东京车会(常青花园店),香樟一路一街与常青北路交叉口北20米,30.631103,114.234977,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
特斯拉超级充电站(武汉市欧亚会展国际酒店),金银湖20号欧亚会展酒店,30.63988,114.205515,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
途虎养车工场店(武汉将军四路店),将军四路7号,30.655836,114.261967,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
朝阳轮胎(将军路店),金银谭大道145号,30.652133,114.261271,东西湖区,武汉市,湖北省,生活服务;维修站点;维修站点|汽车服务;汽车配件销售;汽车配件销售
壳牌汽车充电站(壳牌东西湖区欧亚广场充电站),金银湖路20号,6号线金银湖地铁站C口步行100米,30.639581,114.205531,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
朝阳轮胎(将军南一路店),将军南一路与将军一路交叉口西南140米,30.642288,114.256433,东西湖区,武汉市,湖北省,汽车服务;汽车配件销售;汽车配件销售
壳牌鹏致,将军一路翠林雅居4期12栋22号(张公堤旁),30.643729,114.257813,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
锦程汽车服务,将军一路银杏街翠林雅居12栋,30.643775,114.257882,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
淘油集养车,翠林雅居西南1门东南70米,30.64368,114.257882,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
V养车·车生活,将军路张公堤北24号,30.643768,114.257956,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
安达汽配(将军一路),将军一路翠林雅居,30.643954,114.25814,东西湖区,武汉市,湖北省,汽车服务;汽车配件销售;汽车配件销售
旺驾10元洗车(将军一路店),将军路街道将军一路399号,30.643509,114.257865,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
程车务,将军一路翠林雅居12栋,30.644041,114.258275,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
小桔充电站(信木-金银湖),金银湖街道金银湖南一街万科四季花城(金山大道),30.637543,114.207009,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
特来电充电站(武汉楚商金银潭文化广场),金银潭文化广场·楚商大厦停车场,30.658869,114.263134,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
东西湖睿祥汽车服务中心,金银湖北街碧海花园睿祥汽车服务中心,30.648342,114.19826,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
特来电充电站(武汉东西湖航天科工),金银湖北一街(金银湖地铁站D口步行400米),30.640901,114.202857,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
汽车充电站(武汉将军路),将军三路,30.651278,114.262276,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
腾势充电站(武汉楚商金银潭文化广场站),将军五路12号,30.659377,114.263394,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
武汉市惠选起重叉车吊车出租,环湖中路与环湖四路交叉口,30.678548,114.205227,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
金控新能源汽车租赁经营有限公司,金银潭大道68号金银潭文化广场·楚商大厦F9层,30.659317,114.263471,东西湖区,武汉市,湖北省,汽车服务;汽车租赁;汽车租赁
花城汽车服务,金银湖南三街3附89号附近,30.636938,114.206702,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
魏老贰,金银湖南三街3号附91号,30.636921,114.206698,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
新起点汽车生活馆,金银湖南三街3附91号附近,30.636808,114.2066,东西湖区,武汉市,湖北省,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车养护/装饰;汽车养护
1018汽车维系俱乐部,将军三路与将军四路交叉口西北160米,30.650438,114.262537,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
航天科工金融租赁有限公司,银湖路18号财富大厦写字楼4-5层,30.636858,114.205593,东西湖区,武汉市,湖北省,汽车服务;汽车租赁;汽车租赁
可儿美汽车维修,将军四路与将军路交叉口东北50米,30.653323,114.26403,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护|汽车维修;汽车维修;汽车维修
壳牌汽车充电站(壳牌江汉区南航花苑充电站),新湾路特1号武汉跃达建筑公司住宅小区内,30.630419,114.242921,江汉区,武汉市,湖北省,汽车服务;充电站;充电站
路捷驰名车服务中心,金南一路1-87号,30.628149,114.227495,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
加嗦林汽车驿站,汉兴街街道新湾一路特1号,30.629714,114.241509,江汉区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
轮胎电瓶,金南一路金银湖新村-南区,30.62803,114.227579,东西湖区,武汉市,湖北省,汽车服务;汽车配件销售;汽车配件销售
魔膜威固旗舰店,金南一路,30.627811,114.227678,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
车享家汽车服务中心(金南一路),金南一路1附86-87号,30.627739,114.227784,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
哪儿充汽车充电站(红光小区2站),新湾路与新湾四路交叉口西80米,30.632479,114.248869,江汉区,武汉市,湖北省,汽车服务;充电站;充电站
金银湖南一街汽车充电站,金银湖南一街停车场(金银湖地铁站A口步行240米),30.638442,114.202418,东西湖区,武汉市,湖北省,汽车服务;充电站;充电站
武汉大脚车会,金南一路1附88-89号,30.627616,114.22787,东西湖区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
哪儿充汽车充电站(福星华府1站),新湾五路福星华府东区1号门旁,30.634505,114.252296,江汉区,武汉市,湖北省,汽车服务;充电站;充电站
金扳手汽修定损理赔中心,将军四路10号,30.652117,114.264851,东西湖区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
三头六臂,新湾三路武汉市红光小区(长港路地铁站H口步行470米),30.631426,114.247418,江汉区,武汉市,湖北省,汽车服务;汽车配件销售;汽车配件销售
玖宸汽车美容中心,新湾路与新湾五路交叉口西100米,30.6336,114.251731,江汉区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护
武汉归属感网约车运营中心,新湾二路49号附26门面,30.629946,114.244794,江汉区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
寄汽车抵押,万景橘苑1栋一单元一层6室,30.632918,114.250805,江汉区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
龙腾汽车美容中心,汉兴街街道新湾路106号,30.633335,114.251831,江汉区,武汉市,湖北省,汽车服务;汽车养护/装饰;汽车养护|汽车服务;洗车场;洗车场|汽车维修;汽车维修;汽车维修
哪儿充汽车充电站(金色雅园3站),长港路金色雅园金池苑(长港路地铁站A口步行110米),30.628634,114.244249,江汉区,武汉市,湖北省,汽车服务;充电站;充电站
寄汽车抵押(花呗信用卡黄金),长港路57号附28号,30.629773,114.247639,江汉区,武汉市,湖北省,汽车服务;汽车服务相关;汽车服务相关
壳牌武汉金银湖加油站,金山大道金桥公交站东100米,30.640194,114.198132,东西湖区,武汉市,湖北省,汽车服务;加油站;壳牌
博创汽车钥匙,长港路红光小区287号(长港路地铁站H口步行470米),30.630406,114.249536,江汉区,武汉市,湖北省,汽车服务;汽车配件销售;汽车配件销售
依威能源汽车充电站(跃进家园B区),将军三路跃进家园B区,30.64472,114.264464,江岸区,武汉市,湖北省,汽车服务;充电站;充电站
